path_pattern,bucket,suggested_owner_or_lane,touch_policy,reason
"app/api/source-preview/route.ts; lib/server/og-fetch.ts; lib/client/source-preview.ts; tests/og-fetch.test.ts","Source code changes","Devorah security gates plus Eli source visuals","Ask first","SSRF/image validation and source-thumbnail integrity are intertwined."
"app/api/corpus-sample/route.ts; tests/api/corpus-sample.test.ts","Source code changes","Yonah evaluation or corpus owner","Ask first","Corpus sample API is dirty alongside corpus harness and generated corpus outputs."
"components/session/ux-flow-dashboard.tsx; components/session/az-flow-dashboard.tsx; components/session/visual-evidence-dashboard.tsx; app/api/project-flow-comments/route.ts; .project/review-comments/**","Source code changes","Miriam flow atlas","Ask first","Flow dashboard, A-to-Z flow, visual evidence dashboard, and review-comment route form one review surface."
"components/session/ClaimCard.tsx; claim-detail.tsx; claim-row.tsx; filtered-list.tsx; watch-view.tsx; lib/client/verdict-theme.ts","Source code changes","Talia product truth, Lev signal system, Hadassah mobile/a11y","Ask first","Verdict labels, claim counts, watch signals, and responsive session UI overlap."
"components/session/SourceListItem.tsx; components/session/source-card.tsx; components/session/MarkerChip.tsx; components/session/marker-row.tsx; components/session/chips.tsx","Source code changes","Shira source intake, Noam iconography, Eli source visuals","Ask first","Source cards and marker chips are shared by source intake, marker art, and evidence display lanes."
"lib/prompts/verify-confirmed.ts; lib/prompts/verify-provisional.ts; lib/types.ts","Source code changes","Talia product truth plus Rivka meta-review","Ask first","Prompt vocabulary, verdict semantics, and future claim-cluster fields may collide."
"lib/export/report.ts","Source code changes","Aviva save/export outcomes","Ask first","Export semantics depend on account/save/product-truth decisions."
"package.json","Source code changes","Lead orchestrator or corpus/tooling owner","Ask first","Adds corpus and corpus2 npm scripts while test-corpus scripts and outputs are dirty."
"scripts/test-corpus/**; scripts/test-corpus-2/**; test-corpus/**; test-corpus-2/**; public/corpus-2-report/**","Generated corpus artifacts","Yonah evaluation","Read-only unless assigned","Harness changes and generated audio/transcript/score/report outputs must not be overwritten by unrelated agents."
"public/visual-evidence/**; docs/superpowers/visual-evidence/**; lib/visual-evidence/**; scripts/visual-evidence/**; yentl-mark.*; download*.jpg","Visual evidence artifacts","Noam iconography, Eli source visuals, Ariel motion loops after approval","Ask first","Generated marker art, source thumbnails, screenshots, prompts, and art masters are mixed."
"extension/**; docs/superpowers/handoff/*extension*; agent-work/ezra-extension-proof/**","Extension files","Ezra extension proof","Read-only unless assigned","Tracked extension code is clean, but extension handoff/status files are active coordination material."
"docs/orchestration/**; agent-work/directives.csv; agent-work/Yentl_Agent_Command_Tracker.xlsx; agent-work/reporting-log.csv","Docs/handoffs","Lead orchestrator","Read-only","Cross-session command/control files; agents should report through their folders/inbox."
"Agent Reports/**","Docs/handoffs","Original report authors and lead orchestrator","Read-only","Existing audit reports are source evidence for orchestration."
".claude/**; .claire/**","Local agent/system debris","Owning agent runtime or lead orchestrator","Read-only","May contain other agents' worktrees; never clean or edit casually."
"agent-work/<agent-slug>/**","Local agent/system debris","Named agent owning that slug","Only own folder","Each agent has an assigned deliverable folder; do not overwrite another agent's row or folder."
"3701551.3704128.pdf","Unknown/risky","Lead orchestrator or user","Must ask first","Untracked PDF with unclear project role."
